temp,precip,solar_rad
25.26,0.0,12.29
25.92,0.0,11.62
27.12,0.0,11.71
27.61,0.0,10.95
26.27,0.0,11.13
22.22,0.41,8.59
21.78,0.0,12.99
22.62,0.0,13.15
24.16,0.0,11.42
22.14,0.0,10.94
22.7,0.0,12.83
23.07,0.0,13.04
21.85,0.06,10.14
21.07,2.46,11.18
19.04,0.02,12.28
19.95,0.0,14.0
19.48,0.0,15.19
20.57,0.0,12.36
20.98,0.0,12.1
18.72,0.0,14.18
19.92,0.0,14.7
19.57,0.0,15.22
21.14,0.0,15.37
21.3,0.0,14.69
21.15,0.0,13.84
20.35,0.0,13.6
20.95,0.0,13.67
20.58,0.0,12.99
20.09,0.0,12.37
19.19,0.0,12.97
19.54,0.0,11.84
19.92,0.0,9.17
17.26,0.0,9.95
17.49,0.0,10.15
17.78,0.0,11.3
17.94,0.0,10.7
18.0,0.0,11.17
18.84,0.0,10.74
18.01,0.0,10.68
17.73,0.0,8.88
18.11,0.0,12.27
19.48,0.0,12.08
17.46,0.0,12.58
17.57,0.0,13.56
17.57,0.0,13.33
17.46,0.0,13.39
18.56,0.0,12.64
18.36,0.0,11.62
17.55,0.0,10.61
16.79,0.0,10.38
16.38,0.0,11.37
15.79,0.0,7.93
14.54,0.0,6.25
13.45,0.0,7.61
14.18,0.0,6.03
14.24,0.0,8.33
14.9,0.0,8.72
16.94,0.97,11.14
18.53,2.05,4.55
15.16,0.44,11.45
14.85,0.0,13.56
13.13,0.0,12.89
12.45,0.0,12.97
12.13,0.0,12.64
12.99,0.0,14.35
13.15,0.0,14.2
12.57,0.0,9.0
13.53,0.0,4.85
13.99,0.0,7.6
13.7,0.0,12.24
15.38,0.0,12.6
16.0,0.07,8.54
13.32,0.03,12.21
10.39,0.0,14.14
9.14,0.0,14.82
10.27,0.0,15.27
8.95,0.0,15.42
10.9,0.0,15.13
11.3,0.01,5.26
11.82,1.55,9.62
12.24,2.37,10.07
12.05,0.37,12.33
11.83,0.0,13.1
10.53,0.0,12.02
11.36,0.0,11.65
11.47,0.0,12.89
10.68,0.0,13.55
13.15,0.0,15.34
13.79,0.0,14.0
13.69,0.0,9.88
13.6,0.0,13.93
14.17,0.0,12.89
16.4,0.0,15.55
16.9,0.0,14.07
17.44,0.0,12.13
18.17,0.0,16.13
19.0,0.0,13.19
17.72,0.0,16.13
17.42,0.0,16.91
18.84,0.0,13.36
18.32,0.0,13.71
17.82,0.0,16.73
16.72,0.0,17.8
14.27,0.0,19.06
16.73,0.0,16.73
19.73,0.0,13.6
21.2,0.0,17.42
23.15,0.0,12.63
23.38,0.0,14.86
22.91,0.0,17.08
24.03,0.0,14.06
22.78,0.0,13.2
22.3,0.0,16.19
22.11,0.0,14.73
21.78,0.0,18.11
24.07,0.0,15.69
24.69,0.0,16.18
23.97,0.0,17.56
23.49,0.0,16.39
22.28,1.69,11.77
20.38,3.06,11.75
20.99,1.05,16.16
21.28,0.02,17.24
22.8,0.0,18.7
23.74,0.0,20.06
24.29,0.0,19.66
24.8,0.0,19.22
25.02,0.0,20.12
25.09,0.0,21.12
25.32,0.0,20.06
26.74,0.0,20.05
26.47,0.0,16.46
27.12,0.0,18.86
27.55,0.0,20.98
26.77,0.0,17.59
26.58,0.38,17.71
21.42,4.69,11.58
21.54,0.15,16.73
22.41,1.22,9.28
23.99,0.03,18.75
24.76,0.89,13.7
23.89,2.26,15.39
24.03,0.87,19.46
21.64,25.17,14.43
20.17,3.98,19.58
20.95,0.0,23.27
23.32,0.0,23.15
25.62,0.02,20.3
22.84,8.54,14.38
20.99,5.71,13.78
21.55,1.53,14.74
22.89,0.98,18.46
23.89,1.92,18.93
22.8,11.0,16.59
23.58,0.11,23.11
24.63,4.31,14.94
23.9,0.77,22.78
25.19,0.14,24.6
27.06,0.0,25.38
28.67,0.0,24.99
29.12,0.0,24.44
29.31,0.0,21.4
30.1,0.07,24.69
31.75,0.0,25.52
31.23,0.0,25.42
32.35,0.0,25.03
31.09,0.0,21.26
30.39,1.37,14.4
29.76,3.76,20.18
27.76,1.06,21.37
27.35,0.03,24.98
27.36,0.0,25.16
27.27,0.0,25.09
27.6,0.0,28.2
29.31,0.0,27.83
31.11,0.0,21.72
29.94,0.0,17.91
31.38,0.0,19.81
30.31,0.21,20.32
25.12,0.94,12.39
26.72,0.11,22.05
