temp,precip,solar_rad
23.77,0.0,15.47
22.46,0.0,12.38
23.24,0.0,14.91
22.7,0.0,12.56
23.1,0.0,12.18
21.65,0.0,12.28
24.01,0.0,15.06
24.72,0.0,15.34
24.74,0.0,14.6
23.58,0.0,14.25
22.37,0.0,13.01
22.85,0.0,15.13
22.86,0.0,15.52
20.76,0.0,14.71
19.59,0.0,14.56
20.63,0.0,13.44
20.28,0.0,12.28
19.45,0.0,12.32
19.57,0.0,13.31
21.31,0.0,13.44
21.09,0.0,13.59
20.19,0.0,14.48
20.67,0.0,14.42
20.27,0.0,12.62
18.82,0.0,11.54
19.68,0.0,13.04
19.13,0.0,10.85
17.96,0.0,9.93
18.2,0.0,10.48
19.08,0.0,12.07
19.48,0.0,11.84
18.48,0.0,11.37
17.77,0.0,11.85
17.9,0.0,12.47
17.48,0.0,11.5
16.41,0.0,11.17
17.55,0.0,12.68
18.18,0.0,12.83
18.34,0.0,13.19
17.45,0.0,13.83
17.24,0.0,13.38
16.74,0.0,10.98
16.53,0.0,10.96
14.17,0.0,9.82
13.63,0.0,9.28
12.55,0.0,10.14
12.79,0.0,12.8
12.67,0.0,13.03
13.26,0.0,12.3
14.54,0.0,11.08
14.38,0.0,10.74
15.29,0.0,8.92
15.73,0.0,9.78
13.96,0.0,10.6
14.69,0.0,7.4
16.55,1.43,8.85
14.93,0.16,5.17
13.05,0.0,10.92
13.66,0.0,12.74
14.08,0.0,11.87
13.89,0.0,12.08
15.64,0.01,11.55
14.91,0.01,12.35
16.63,0.0,6.53
15.49,0.28,8.93
13.82,6.35,2.94
12.48,3.39,7.16
12.18,13.02,2.58
12.2,0.58,8.81
11.3,0.01,10.52
12.12,0.0,12.27
11.96,0.0,13.03
12.74,0.0,13.42
12.81,0.0,13.1
13.03,0.0,12.93
13.98,0.0,11.17
14.43,0.0,6.04
14.81,0.0,8.75
14.95,0.0,8.7
15.93,0.07,6.61
14.21,0.23,8.44
14.77,0.23,2.94
11.3,3.59,3.31
12.44,0.11,10.88
12.0,0.0,14.67
12.41,0.0,14.65
12.44,0.0,15.43
12.97,0.0,14.95
13.81,0.0,14.45
15.35,0.0,14.34
15.91,0.0,14.04
16.95,0.0,15.37
15.07,0.0,15.41
16.27,0.0,13.3
14.81,0.01,17.13
12.42,0.0,17.32
13.46,0.0,9.12
14.35,0.0,12.79
14.59,0.0,14.2
15.43,0.47,14.53
15.77,0.03,16.09
16.34,0.0,16.49
16.06,0.0,17.3
17.36,0.0,16.94
18.45,0.0,16.59
17.14,0.0,15.49
18.16,0.0,16.05
19.0,0.0,15.44
18.57,0.0,15.18
17.17,0.0,14.74
18.46,0.0,17.67
19.85,0.0,19.26
19.62,0.0,16.85
17.69,0.04,14.62
18.13,0.07,18.52
19.68,0.0,16.78
20.19,0.0,14.83
17.46,0.0,17.0
17.75,0.0,18.93
19.53,0.02,16.48
21.09,0.01,19.07
16.15,6.9,5.96
18.61,0.12,19.92
19.69,0.0,19.38
21.33,0.0,14.55
23.79,0.71,15.02
22.22,1.22,14.51
21.82,0.0,18.52
23.97,0.0,18.4
23.04,0.0,21.14
25.95,0.0,20.48
27.88,0.0,19.23
29.07,0.0,20.07
30.31,0.0,19.98
30.04,0.0,21.16
30.35,0.0,21.84
31.38,0.0,22.07
31.49,0.0,20.18
28.35,0.0,17.94
29.33,0.0,19.88
30.05,0.0,20.39
29.23,0.0,21.36
28.41,0.0,21.14
27.83,0.0,21.21
28.93,0.0,22.04
29.57,0.0,23.48
30.38,0.0,22.09
30.72,0.0,23.52
30.6,0.0,23.27
29.61,0.0,24.36
29.8,0.0,25.47
30.98,0.0,25.48
30.48,0.0,25.14
29.77,0.0,24.09
29.89,0.0,24.18
31.3,0.0,24.59
33.23,0.0,25.45
32.95,0.0,24.5
33.63,0.0,23.97
33.86,0.0,24.76
34.33,0.0,24.86
35.23,0.0,21.94
34.52,0.0,22.49
33.49,0.0,22.84
32.17,0.0,24.29
31.93,0.0,25.35
33.41,0.0,25.21
33.61,0.0,22.8
34.02,0.0,16.03
34.32,0.02,22.06
33.85,0.0,22.81
33.63,0.0,21.91
31.8,0.0,24.87
32.55,0.0,24.28
33.23,0.0,22.57
34.04,0.0,24.9
34.46,0.0,26.28
35.83,0.0,25.9
37.34,0.0,24.8
36.97,0.0,24.73
37.65,0.0,26.42
